R.I.P.D.	2013	Phil Hay	"\N"	"\N"
Los Hijos de San Luis	2020	Álex López	1986	"\N"
Hell Bank Presents: Running Ghost	2020	Nate Ki	"\N"	"\N"
Soorma	2018	Shaad Ali	1970	"\N"
The Terror	1963	Jack Hill	1933	"\N"
Boeing, Boeing	1965	Edward Anhalt	1914	2000
Neha	1991	Martin Sulík	1962	"\N"
Ladies Room	1999	Natalina Di Leandro	"\N"	"\N"
The Devil's Double	2011	Latif Yahia	"\N"	"\N"
My Best Friend's Bouquet	2020	Brittni Brown	"\N"	"\N"
And Soon the Darkness	2010	Marcos Efron	"\N"	"\N"
Shark Night	2011	Jesse Studenberg	"\N"	"\N"
Quarantine L.A.	2013	Filip Maciejewicz	"\N"	"\N"
Papusza	2013	Krzysztof Krauze	1953	2014
Trailer Park Boys: Don't Legalize It	2014	Mike O'Neill	"\N"	"\N"
Captive	2015	Stacy Mattingly	"\N"	"\N"
Samurai Cop 2: Deadly Vengeance	2015	Rich Mallery	"\N"	"\N"
Wait Until Dark	1967	Robert Carrington	1928	"\N"
Twice a Woman	1979	Jurriën Rood	1955	"\N"
Sexmission	1984	Juliusz Machulski	1955	"\N"
House II: The Second Story	1987	Fred Dekker	1959	"\N"
King Size	1988	Juliusz Machulski	1955	"\N"
Beauty and the Bastard	2005	Pekko Pesonen	"\N"	"\N"
The Exorcism of God	2021	Alejandro Hidalgo	"\N"	"\N"
Chuck Lawson and the Night of the Invaders	2020	Tyler Bonner	"\N"	"\N"
Her Name Was Christa	2020	James L. Edwards	1972	"\N"
Acute Misfortune	2018	Thomas M. Wright	1983	"\N"
The Angry Red Planet	1959	Ib Melchior	1917	2015
The Young Seducers	1971	Erwin C. Dietrich	1930	2018
Futurama: Bender's Big Score	2007	Matt Groening	1954	"\N"
The Mine	2012	Jeff Chamberlain	1954	2020
Backgammon	2015	Todd Niemi	"\N"	"\N"
The Confessions	2016	Angelo Pasquini	"\N"	"\N"
Dywizjon 303	2018	Tomasz Kepski	"\N"	"\N"
Man Camp	2019	Josh Long	1983	"\N"
Mad About Mambo	2000	John Forte	"\N"	"\N"
Heights	2005	Amy Fox	"\N"	"\N"
Camino	2008	Javier Fesser	1964	"\N"
Super Monsters Super Monsters : The New Class	0	Kaaren Lee Brown	"\N"	"\N"
Bhutto	2010	Johnny O'Hara	"\N"	"\N"
The Possession of Michael King	2014	Tedi Sarafian	1966	"\N"
Assassin 33 A.D.	2020	Jim Carroll	"\N"	"\N"
Climax	2018	Gaspar Noé	1963	"\N"
Wheels of Fortune	2020	John Ducey	1969	"\N"
Vedo nudo	1969	Fabio Carpi	1925	2018
Eyes Wide Shut	1999	Stanley Kubrick	1928	1999
A Guy Thing	2003	Bill Wrubel	"\N"	"\N"
Morning Show Mysteries Morning Show Mysteries: Death by Design	2019	Amber Benson	1977	"\N"
Mookuthi Amman	2020	RJ Balaji	1985	"\N"
A Lonely Place to Die	2011	Julian Gilbey	1975	"\N"
Fukushima 50	2020	Ryûshô Kadota	"\N"	"\N"
The Stranger Wore a Gun	1953	John W. Cunningham	1915	2002
Cantonen Iron Kung Foo	1979	Hsin Wei	"\N"	"\N"
Real Genius	1985	PJ Torokvei	1951	2013
Gods and Generals	2003	Jeff Shaara	1952	"\N"
A Tale of Two Sisters	2003	Jee-woon Kim	1964	"\N"
Cimarron	1960	Edna Ferber	1885	1968
The Gumball Rally	1976	Charles Bail	1935	2020
The Big Lebowski	1998	Joel Coen	1954	"\N"
Ladies Room	1999	Geneviève Lefebvre	1949	"\N"
Mowgli: Legend of the Jungle	2018	Callie Kloves	"\N"	"\N"
Three Christs	2017	Milton Rokeach	"\N"	"\N"
Untamed Woman	1957	Yôko Mizuki	1910	2003
The Tin Drum	1979	Günter Grass	1927	2015
First Blood	1982	William Sackheim	1919	2004
The Binding	2020	Domenico de Feudis	"\N"	"\N"
Mystery Team	2009	D.C. Pierson	"\N"	"\N"
The Twilight Saga: Eclipse	2010	Melissa Rosenberg	1962	"\N"
A Real Vermeer	2016	Rudolf van den Berg	1949	"\N"
Loving Vincent	2017	Jacek Dehnel	1980	"\N"
MFKZ	2017	Baljeet Rai	"\N"	"\N"
View from a Blue Moon	2015	Jay Tormohlen	"\N"	"\N"
The Academy of Magic	2020	Cindy Robinson	1973	"\N"
Knights of the Damned	2017	James Morelli-Green	"\N"	"\N"
Little Lord Fauntleroy	1936	Frances Hodgson Burnett	1849	1924
Intentions of Murder	1964	Keiji Hasebe	1914	"\N"
Der Turm der verbotenen Liebe	1968	Kurt Nachmann	1915	1984
Big Trouble in Little China	1986	David Z. Weinstein	"\N"	"\N"
Amanda & the Alien	1995	Robert Silverberg	1935	"\N"
Two Came Back	1997	Meg Noonan	"\N"	"\N"
Forsaken	2018	Mikhail Raskhodnikov	"\N"	"\N"
Paper Spiders	2020	Natalie Shampanier	"\N"	"\N"
Twist of Fate	1954	David Miller	1909	1992
Counterpoint	1967	Joel Oliansky	1935	2002
Buffalo Bill and the Indians, or Sitting Bull's History Lesson	1976	Robert Altman	1925	2006
Alison's Birthday	1981	Ian Coughlan	1946	2001
Heaven & Earth	1993	Jay Wurts	"\N"	"\N"
Rugrats in Paris	2000	J. David Stem	"\N"	"\N"
In Absentia	2000	Timothy Quay	1947	"\N"
The Undeserved	2004	Paul Sado	1978	"\N"
Asylum: Twisted Horror and Fantasy Tales	2020	Enrique Codesido	"\N"	"\N"
Yu-Gi-Oh!: The Dark Side of Dimensions	2016	Kazuki Takahashi	1961	2022
A Safe Place	1971	Henry Jaglom	1938	"\N"
Delirium	1979	Peter Maris	"\N"	"\N"
Pocahontas 2: Journey to a New World (1998) (V)	1998	Cindy Marcus	"\N"	"\N"
Executive Order	2020	Lusa Silvestre	"\N"	"\N"
Los Hijos de San Luis	2020	Antonio Jesús Rojas	"\N"	"\N"
The Queen of Spades	2016	Alexander Pushkin	1799	1837
1/2 New Year	2019	Georgia Menides	1975	"\N"
Drib	2017	Kristoffer Borgli	1985	"\N"
Monsters and Men	2018	Reinaldo Marcus Green	1981	"\N"
Mother	1925	Françoise Rosay	1891	1974
Danger: Diabolik	1968	Angela Giussani	1922	1987
Those Desperate Men Who Smell of Dirt and Death	1969	José Luis Martínez Mollá	"\N"	"\N"
Murders in the Rue Morgue	1971	Christopher Wicking	1943	2008
Lesson of a Dead Language	1979	Andrzej Kusniewicz	1904	1993
Fear City	1984	Nicholas St. John	"\N"	"\N"
Psycho IV: The Beginning	1990	Joseph Stefano	1922	2006
Rose Hill	1997	Julie Garwood	1944	2023
