Shock Waves	1977	Luke Halpin	1947	NULL	[Keith]
Sleeping Dogs	1977	Clyde Scott	NULL	NULL	[Jesperson]
The Private Eyes	1980	Fred Stuthman	1919	1982	[Lord Morley]
Christiane F.	1981	Rainer Woelk	NULL	NULL	[Leiche]
Sweet Sixteen	1983	Patrick Macnee	1922	2015	[Dr. John Morgan]
Seeding of a Ghost	1983	Erik Ka-Kei Chan	NULL	NULL	[Police Officer]
R.O.T.O.R.	1987	James Cole	1925	2010	[Greg Hutchins]
Until the End of the World	1991	Jean-Charles Dumay	NULL	NULL	[Mechanic]
Psycho IV: The Beginning	1990	Warren Frost	1925	2017	[Dr. Leo Richmond]
Double Trouble	1992	David Paul	1957	2020	[David Jade]
Miranda	2002	Matthew Marsh	1954	NULL	[Charles]
The Ten	2007	Jon Hamm	1971	NULL	[Skydiving Guide Chris Knarl]
Sarah Cooper: Everything's Fine	2020	Jon Hamm	1971	NULL	[Steve Windell]
Sarah Cooper: Everything's Fine	2020	Jon Hamm	1971	NULL	[Kenny L.L]
Set Off	2008	Jiang He	NULL	NULL	[Lao Wu]
Aurora Teagarden Mysteries Aurora Teagarden Mysteries: How to Con A Con	2021	Dylan Sloane	NULL	NULL	[Phillip]
A Birder's Guide to Everything	2013	Daniel Berger	NULL	NULL	[Scarsdale High School Capt]
Unlocked	2017	Matthew Marsh	1954	NULL	[Frank Sutter]
The Congress	2013	Jon Hamm	1971	NULL	[Dylan Truliner]
The Oxbow Cure	2013	Adam Barnes	NULL	NULL	NULL
June in January	2014	Barclay Hope	1958	NULL	[Charlie Fraser]
All You Need Is Love	2015	Haman Hu	1981	NULL	[TV Show Presenter]
Breakdown Forest - Reise in den Abgrund	2019	Mathieu Carrière	1950	NULL	[Der Billionär]
Raaz Reboot	2016	Gaurav Arora	NULL	NULL	[Rehan]
The Hunchback of Notre Dame	1939	George Zucco	1886	1960	[Procurator]
The Price of Sin	1966	René Deltgen	1909	1979	[Dr. med. Diener]
The Dunwich Horror	1970	Ed Begley	1901	1970	[Dr. Henry Armitage]
Sex Thief	1973	Michael Armstrong	1944	NULL	[Sergeant Plinth]
First Blood	1982	Bill McKinney	1931	2011	[Kern]
Fear City	1984	Joe Santos	1931	2016	[Frank]
Scuola di ladri	1986	Claudio Boldi	NULL	NULL	[La guardia]
Rush	1991	Gregg Allman	1947	2017	[Gaines]
Timecode	2000	Richard Edson	1954	NULL	[Lester Moore]
The Phantom of the Opera	2004	Ciarán Hinds	1953	NULL	[Firmin]
The Plane	2005	Roméo Botzaris	1997	NULL	[Charly]
Silence	2016	Ciarán Hinds	1953	NULL	[Father Valignano]
Frontier(s)	2007	Chems Dahmani	1986	NULL	[Farid]
Mardi Gras: Spring Break	2011	Josh Gad	1981	NULL	[Bump (Bartholomew T. Brown)]
Under the Bed	2012	Tyler Steelman	1990	NULL	[Richard Evans]
When a Wolf Falls in Love with a Sheep	2012	Bryan Shu-Hao Chang	1988	NULL	[Chiang Shuo-tao]
Forsaken	2018	Alexey A. Petrukhin	1973	NULL	[Assistant of Head of the Investigative Committee]
Rites of Passage	2013	Matthew Abotomey	NULL	NULL	[Guy who starts a fight in the Party House Story]
10 000 timmar	2014	Jonny Blomkvist	NULL	NULL	[Pumpmannen]
Justice League: War	2014	Steve Blum	1960	NULL	[Darkseid]
Justice League: War	2014	Steve Blum	1960	NULL	[Computer Voice]
Justice League: War	2014	Steve Blum	1960	NULL	[Ocean Master]
I Cover the Waterfront	1933	Wilfred Lucas	1871	1940	[Randall]
Affair in Trinidad	1952	Alexander Scourby	1913	1985	[Max Fabian]
The Angry Red Planet	1959	Les Tremayne	1913	2003	[Prof. Theodore Gettell]
Bells Are Ringing	1960	Frank Gorshin	1933	2005	[Blake Barton]
Those Desperate Men Who Smell of Dirt and Death	1969	Alberto de Mendoza	1923	2011	[Lucky Boy]
The Angry Guest	1972	Lung Ti	1946	NULL	[Wen Lieh]
Chinese Roulette	1976	Armin Meier	1943	1978	[Man at Service Station]
The Kung Fu Instructor	1979	Lung Ti	1946	NULL	[Wang Yang]
Seeding of a Ghost	1983	Jung Wang	1941	NULL	[Doctor (Guest star)]
1984	1984	David Trevena	1930	2000	[Tillotson's Friend]
Real Genius	1985	Daniel Ades	1932	1992	[Laser Ray Victim]
Bill & Ted's Excellent Adventure	1989	George Carlin	1937	2008	[Rufus]
Two Came Back	1997	D. Elliot Woods	1969	NULL	[Coast Guardsman]
Disappearing Acts	2000	Fernando Phifer Cameron	NULL	NULL	[Tyree]
School of Life	2005	Don MacKay	NULL	NULL	[Principal Bass]
Bottle Shock	2008	Kirk Baily	1963	2022	[Loan Officer]
Coming Down the Mountain	2007	Brendan Heaney	NULL	NULL	[Gary Jeavons]
School of the Damned	2019	James Groom	NULL	NULL	[Tony]
Bruh.mp4	2020	Andrew Burdette	NULL	NULL	[Tyler]
The Watch	2012	Billy Crudup	1968	NULL	[Neighbor]
The Evil Twin	2021	Ish Morris	NULL	NULL	[David]
Fixing Pete	2011	Charlie Schlatter	1966	NULL	[Marty]
Captive	2015	Richard Fullerton	1946	NULL	[Judge Rowland Barnes]
